Age,State,Posts,Views,Duration,Authors,AuthorExperience,DeletedPosts,Forum,AuthorBanned
3123,open,4,539,1,2,122,0,Medicine,not banned
2398,open,3,647,0,3,0,0,Science,not banned
442,open,3,244,0,3,37,0,Speculation,banned
1528,open,3,867,2,2,970,0,Science,not banned
705,open,3,643,3,2,0,0,Misc,not banned
400,open,3,315,2,2,0,0,Science,not banned
444,open,15,1120,1,5,255,0,Science,not banned
3313,open,4,419,1,3,837,0,Science,not banned
3362,open,15,8598,1014,12,515,0,Science,not banned
3885,open,3,610,1,3,57,0,Science,not banned
1669,open,4,768,1,4,13,1,Science,not banned
3359,open,6,475,1,4,276,0,Science,not banned
2740,open,4,4381,34,4,13,0,Misc,not banned
180,closed,34,649,2,11,0,0,Speculation,banned
757,open,4,490,27,2,1071,0,Science,not banned
1549,open,8,1245,3,6,730,0,Science,not banned
3425,open,17,2852,3,6,379,0,Science,not banned
3537,open,6,804,1,3,42,0,Science,banned
2525,open,8,1075,1,6,1625,0,Science,not banned
1855,open,9,1439,0,6,52,0,Math,not banned
3667,open,23,945,2,10,85,0,Discussion,not banned
3435,open,3,490,0,3,310,0,Science,not banned
3082,open,9,683,3,4,243,1,Science,not banned
624,open,4,314,66,3,0,0,Discussion,not banned
4188,open,2,664,0,2,34,0,Science,not banned
2623,open,11,1621,202,4,228,0,Science,not banned
3602,open,19,2194,78,10,19,0,Medicine,not banned
2309,open,6,695,1,4,9,0,Science,not banned
3501,open,5,8625,2942,5,112,1,Misc,not banned
3213,open,5,729,12,5,290,0,Science,not banned
3428,open,3,476,0,3,376,0,Science,not banned
1948,open,9,2018,2,4,26,0,Science,not banned
1290,open,12,1327,2,6,202,0,Science,banned
1752,open,6,416,1,3,108,0,Science,not banned
3747,open,2,885,174,2,2,0,Science,not banned
2645,open,12,1072,5,4,54,0,Science,banned
3549,open,8,633,1,4,30,0,Math,banned
1188,open,59,3349,1138,24,658,0,Misc,not banned
3737,open,3,1815,30,2,1,0,Science,not banned
2159,open,39,1392,123,29,1658,0,Discussion,not banned
