"","Light.Type","Standardized.Moon","Standardized.Mean.Temp","Standardized.Mean.Humidity","Total"
"1","A",0.9243604,0.448717949,0.628571429,24
"2","B",0.9243604,0.448717949,0.628571429,23
"3","C",0.9243604,0.448717949,0.628571429,11
"4","LED",0.9243604,0.448717949,0.628571429,9
"5","CFL",0.9243604,0.448717949,0.628571429,6
"6","No",0.9243604,0.448717949,0.628571429,2
"7","A",0.775305895,0.320512821,0.385714286,7
"8","B",0.775305895,0.320512821,0.385714286,4
"9","C",0.775305895,0.320512821,0.385714286,4
"10","LED",0.775305895,0.320512821,0.385714286,3
"11","CFL",0.775305895,0.320512821,0.385714286,1
"12","No",0.775305895,0.320512821,0.385714286,1
"13","A",0.676307008,0.509615385,0.528571429,221
"14","B",0.676307008,0.509615385,0.528571429,56
"15","C",0.676307008,0.509615385,0.528571429,91
"16","LED",0.676307008,0.509615385,0.528571429,33
"17","CFL",0.676307008,0.509615385,0.528571429,20
"18","No",0.676307008,0.509615385,0.528571429,7
"19","A",0.409343715,0.192307692,0.55,23
"20","B",0.409343715,0.192307692,0.55,19
"21","C",0.409343715,0.192307692,0.55,44
"22","LED",0.409343715,0.192307692,0.55,7
"23","CFL",0.409343715,0.192307692,0.55,27
"24","No",0.409343715,0.192307692,0.55,1
"25","A",0.183537264,0.064102564,0.55,1
"26","B",0.183537264,0.064102564,0.55,1
"27","C",0.183537264,0.064102564,0.55,5
"28","LED",0.183537264,0.064102564,0.55,2
"29","CFL",0.183537264,0.064102564,0.55,9
"30","No",0.183537264,0.064102564,0.55,1
"31","A",0.0756396,0.336538462,0.771428571,15
"32","B",0.0756396,0.336538462,0.771428571,16
"33","C",0.0756396,0.336538462,0.771428571,29
"34","LED",0.0756396,0.336538462,0.771428571,6
"35","CFL",0.0756396,0.336538462,0.771428571,36
"36","No",0.0756396,0.336538462,0.771428571,1
"37","A",0,0.237179487,0.828571429,10
"38","B",0,0.237179487,0.828571429,3
"39","C",0,0.237179487,0.828571429,3
"40","LED",0,0.237179487,0.828571429,4
"41","CFL",0,0.237179487,0.828571429,14
"42","No",0,0.237179487,0.828571429,0
"43","A",0.084538376,0.253205128,0.964285714,16
"44","B",0.084538376,0.253205128,0.964285714,5
"45","C",0.084538376,0.253205128,0.964285714,22
"46","LED",0.084538376,0.253205128,0.964285714,10
"47","CFL",0.084538376,0.253205128,0.964285714,28
"48","No",0.084538376,0.253205128,0.964285714,8
"49","A",0.288097887,0.291666667,0.878571429,41
"50","B",0.288097887,0.291666667,0.878571429,51
"51","C",0.288097887,0.291666667,0.878571429,23
"52","LED",0.288097887,0.291666667,0.878571429,29
"53","CFL",0.288097887,0.291666667,0.878571429,32
