"","stress","time"
"1",0.87,1.67
"2",0.87,2.2
"3",0.87,2.51
"4",0.87,3
"5",0.87,2.9
"6",0.87,4.7
"7",0.87,7.53
"8",0.87,14.7
"9",0.87,27.8
"10",0.87,37.4
"11",0.99,0.8
"12",0.99,1
"13",0.99,1.37
"14",0.99,2.25
"15",0.99,2.95
"16",0.99,3.7
"17",0.99,6.07
"18",0.99,6.65
"19",0.99,7.05
"20",0.99,7.37
"21",1.09,0.102
"22",1.09,0.18
"23",1.09,0.2
"24",1.09,0.24
"25",1.09,0.26
"26",1.09,0.32
"27",1.09,0.32
"28",1.09,0.42
"29",1.09,0.44
"30",1.09,0.88
"31",1.18,0.073
"32",1.18,0.098
"33",1.18,0.117
"34",1.18,0.135
"35",1.18,0.175
"36",1.18,0.262
"37",1.18,0.27
"38",1.18,0.35
"39",1.18,0.386
"40",1.18,0.456
