LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
8578833004,"RADIUS, INC.",MANDEVILLE,LA,70448,JPMORGAN CHASE BANK NATL ASSOC,IL,NA,1995-08-09,1995,60,2,2,0,0,1,0,N,Y,NA,1995-10-31,28000,0,P I F,0,28000,25200
4891383009,CAFE WATERFRONT & OLD TOWN,EUREKA,CA,95501,U.S. BANK NATIONAL ASSOCIATION,OH,NA,1992-06-18,1992,288,15,1,0,0,1,0,N,N,NA,1992-07-31,202305,0,P I F,0,202305,171959
4680624005,BRUCE H BENDER AGENT,ROWLAND HEIGHTS,CA,91748,CALIFORNIA BANK & TRUST,CA,524210,2001-07-17,2001,300,3,1,2,5,1,1,0,N,NA,2001-08-31,121000,0,P I F,0,121000,102850
7490004010,MORTGAGE SOLUTION GROUP LLC,SAN JOSE,CA,95102,BAY AREA EMPLOYMENT DEVEL CO,CA,531210,2004-06-02,2004,240,11,1,4,0,1,1,0,N,NA,2004-09-15,158000,0,P I F,0,425000,425000
9132804002,C & H LETTERPRESS INC,SANTA ANA,CA,92704,CDC SMALL BUS. FINAN CORP,CA,323119,2005-09-29,2005,240,14,1,20,0,1,1,0,N,NA,2005-12-14,1149000,0,P I F,0,1149000,1149000
4000335005,WESTLAKE INTERNET TRAINING INC,WASHINGTON,DC,20006,CAPITAL BANK NATL ASSOC,MD,541519,2010-03-29,2010,47,5,1,0,5,0,1,N,N,2013-02-19,2010-06-17,35000,0,CHGOFF,34417,35000,35000
1062845007,SCOTT'S CONSTRUCTION SERVICES,INDIO,CA,92201,CAPITAL ONE NATL ASSOC,VA,236118,2004-09-17,2004,84,6,1,0,0,1,1,N,N,NA,2004-10-31,35000,0,P I F,0,35000,17500
2665025001,"Lady Belvedere Enterprises, LL","PLANO, TX",TX,75074,BANK OF AMERICA NATL ASSOC,NC,561990,2007-08-28,2007,60,14,1,0,14,0,1,Y,N,2009-09-18,2007-08-31,100000,0,CHGOFF,100000,100000,50000
3577674006,E L MENK JEWELER INC,BRAINERD,MN,56401,BREMER BANK NATL ASSOC,MN,448310,2000-02-09,2000,84,5,1,0,0,1,2,Y,Y,NA,2000-09-30,108000,0,P I F,0,108000,81000
8994854005,"BULLDOG MOBILITY SERVICES, INC",BROWNSBURG,IN,46112,BMO HARRIS BK NATL ASSOC,IL,453998,2005-07-20,2005,84,3,1,0,0,1,1,0,Y,NA,2005-08-31,55000,0,P I F,0,55000,46750
8184773007,BENCHWORKS/LUCRETI'S PIECES,WINDSOR,VT,5089,"LAKE SUNAPEE BANK, FSB",VT,NA,1995-03-20,1995,240,9,1,0,0,1,0,N,Y,NA,1995-04-30,45000,0,P I F,0,45000,36000
5749764005,R CUSTOM AUTOMOTIVE FINISHES C,MILLVILLE,NJ,8332,BANK OF AMERICA NATL ASSOC,NC,811121,2002-09-30,2002,5,4,1,0,4,1,1,N,N,2009-05-18,2002-11-30,96513,0,CHGOFF,35078,35800,17900
4313903008,FATHER & SON MOVING & STORAGE,NORTH MIAMI,FL,33054,TRUSTMARK NATIONAL BANK,FL,NA,1990-11-30,1991,202,15,1,0,0,1,0,N,N,NA,1991-10-31,550000,0,P I F,0,550000,467500
6885123004,AIRLINE CRAFT SHOP,AURORA,ME,4408,"MERRILL BANK, A DIVISION OF",ME,453220,1994-05-18,1994,180,1,1,0,0,1,0,N,N,NA,1994-07-31,40000,0,P I F,0,40000,36000
9454783005,SPROUTS,GOLDEN,CO,80401,CASTLE ROCK BANK,CO,NA,1996-08-13,1996,120,6,2,0,0,1,0,N,Y,NA,1997-08-31,50000,0,P I F,0,50000,40000
1866545006,"Insight Computer Repair, LLC",MISSION VIEJO,CA,92692,BANK OF AMERICA NATL ASSOC,NC,541519,2006-06-10,2006,84,1,2,0,1,0,1,Y,N,NA,2006-12-31,20125,0,P I F,0,10000,5000
3236815009,Davey LLC DBA Oxi Fresh,Ocala,FL,34474,SUNTRUST BANK,GA,561740,2008-10-08,2009,60,2,2,2,1,0,1,Y,N,NA,2008-11-30,154700,0,P I F,0,50000,25000
6769104008,OCIMUM BIOSOLUTIONS LLC,INDIANAPOLIS,IN,46268,THE HUNTINGTON NATIONAL BANK,OH,541710,2003-10-07,2004,60,6,2,0,6,1,1,Y,N,NA,2006-03-31,80000,0,P I F,0,80000,40000
6679094003,FAQ CONSULTING,LEMONT,PA,16851,CITIZENS BANK NATL ASSOC,RI,541512,2003-09-12,2003,61,3,1,1,4,1,1,Y,N,2008-05-15,2003-09-30,30000,0,CHGOFF,29961,30000,15000
2693875006,Bw Limo & Tour,LOS ANGELES,CA,90010,BBCN BANK,CA,488999,2007-09-12,2007,26,1,1,2,1,0,1,N,N,2012-09-14,2007-09-30,10000,0,CHGOFF,5086,10000,8500
4312514003,DOLPHIN POOL SUPPLY & SERVICE,DALLAS,TX,75234,SOUTHWEST BANK,TX,453998,2001-02-15,2001,84,35,1,10,35,1,1,0,N,NA,2001-03-31,200000,0,P I F,0,200000,150000
7327344007,"CHUCK ROAST EQUIPMENT, INC.",CONWAY,NH,3818,NORTHWAY BANK,NH,315299,2004-04-05,2004,10,25,1,0,0,1,2,N,N,NA,2004-04-30,290000,0,P I F,0,290000,217500
3179175010,"Five Star Wholesale, Inc.",Tulsa,OK,74131,ARVEST BANK,AR,424990,2008-08-04,2008,12,1,1,0,1,0,1,Y,N,NA,2008-08-31,146500,0,P I F,0,100000,50000
8190563010,SUPERIOR COACHES,GAUTIER,MS,39553,MERCHANTS & MARINE BANK,MS,485510,1995-03-21,1995,60,3,2,0,0,1,0,N,Y,NA,1995-04-30,25000,0,P I F,0,25000,22500
2367384010,THE BUNK HOUSE MOTEL,BUFFALO,WY,82834,TRANSAMERICA SMALL BUS. CAPITA,SC,NA,1998-09-30,1998,273,2,2,1,0,1,0,0,N,2002-10-30,1998-10-31,270400,0,CHGOFF,99230,270400,202800
1446334010,DARA THAI RESTAURANT INC.,FLAGSTAFF,AZ,86001,NEWTEK SMALL BUS. FINANCE INC.,NY,NA,1997-07-30,1997,300,10,1,0,0,1,0,N,N,NA,1997-11-30,260000,0,P I F,0,260000,195000
1682335008,"Tagma Financial Services, Inc.",TUCKER,GA,30084,BANK OF AMERICA NATL ASSOC,NC,812990,2006-02-27,2006,58,6,1,2,6,0,1,Y,N,2011-06-20,2006-03-31,99300,0,CHGOFF,49300,50000,25000
2127975007,"Springfield Pike Automotive, I",CINCINNATI,OH,45246,"PNC BANK, NATIONAL ASSOCIATION",DE,811118,2006-11-16,2007,108,3,2,2,3,0,1,N,N,2010-09-08,2006-12-31,148000,0,CHGOFF,140277,148000,74000
1678765005,"VIVARIUM DESIGN INNOVATIONS, L",WARREN,MI,48093,CAPITAL ONE NATL ASSOC,VA,327215,2006-02-24,2006,84,1,2,0,1,0,1,N,N,NA,2006-03-31,25000,0,P I F,0,25000,12500
9102404010,THE UPS STORE,LAWRENCE,KS,66046,"READYCAP LENDING, LLC",CA,561431,2005-09-15,2005,111,3,2,3,0,81612,1,0,N,NA,2006-01-31,204000,0,P I F,0,204000,153000
5678183003,OSCEOLA SUPER VALU INC,OSCEOLA,WI,54020,GREATER WISCONSIN DEVEL CORP,WI,NA,1993-05-05,1993,240,36,1,21,36,1,0,N,N,NA,1993-12-15,510000,0,P I F,0,510000,510000
9689933007,"LAKESIDE AUTO, INC.",SPRING LAKE,MI,49456,MICHIGAN COMMERCE BANK,MI,441110,1996-10-24,1997,120,2,1,0,0,1,0,N,Y,NA,1997-11-30,80000,0,P I F,0,80000,64000
2499694000,"SPANGLER MOVING & STORAGE,INC.",GROVE CITY,OH,43123,"WESBANCO BANK, INC.",OH,NA,1998-11-19,1999,84,11,1,0,0,1,0,N,N,NA,1999-05-31,47000,0,P I F,0,47000,35250
1921505009,JAY MING-CHUN TSAO,POMONA,CA,91766,U.S. BANK NATIONAL ASSOCIATION,OH,423320,2006-07-14,2006,84,8,1,2,10,0,1,Y,N,NA,2006-07-31,76099,0,P I F,0,30000,15000
2005195000,"TravGav, Inc.",Jacksonville,FL,32207,WELLS FARGO BANK NATL ASSOC,SD,423450,2006-09-06,2006,60,5,1,0,5,0,2,N,N,NA,2006-11-30,225000,0,P I F,0,225000,112500
5723654009,COUSIN'S SUBS,PLOVER,WI,54467,BMO HARRIS BK NATL ASSOC,IL,722211,2002-09-24,2002,96,12,1,0,12,1,1,0,N,2005-11-03,2002-12-31,189500,0,CHGOFF,146511,189500,142125
2005135004,"RED BRICK BAKERY, LLC",RED LION,PA,17356,CITIZENS BANK NATL ASSOC,RI,445291,2006-09-06,2006,84,2,1,0,2,0,1,N,N,NA,2006-09-30,20000,0,P I F,0,20000,10000
2811594000,"THE CONFERENCE GROUP, LLC.",WILMINGTON,DE,19801,WILMINGTON SAVINGS FUND SOCIET,DE,NA,1999-03-01,1999,36,5,2,0,0,1,0,0,Y,NA,1999-05-31,150000,0,P I F,0,150000,112500
9380103007,"ELENA'S FINE FOODS, INC.",VINELAND,NJ,8360,NEWTEK SMALL BUS. FINANCE INC.,NY,NA,1996-07-02,1996,120,4,1,0,0,1,0,N,N,NA,1996-07-25,145000,0,P I F,0,145000,108750
4546695010,CHOICE ELECTRICAL INC,FOLSOM,CA,95630,U.S. BANK NATIONAL ASSOCIATION,OH,238210,2011-02-16,2011,84,1,1,3,4,0,1,Y,N,NA,2011-05-01,26417,0,P I F,0,25000,12500
