"siteID","date","site.date","ndvi","gazelleThomsons.count","gazelleThomsons.present","topi.count","topi.present","zebra.count","zebra.present","fire","amRivDist","TM100","LriskDry","T50"
"B06","2012-01-01","B062012-01-01",0.755349801068246,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-01-09","B062012-01-09",0.679288094017271,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-01-17","B062012-01-17",0.57744157177307,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-01-25","B062012-01-25",0.522514134087596,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-02-02","B062012-02-02",0.483226773846017,0,0,0,0,16,1,0,4135.914833,0,0.001216255,500
"B06","2012-02-10","B062012-02-10",0.424009461856889,1,1,0,0,47,1,0,4135.914833,0,0.001216255,500
"B06","2012-02-18","B062012-02-18",0.390917018211614,0,0,0,0,118,1,0,4135.914833,0,0.001216255,500
"B06","2012-02-26","B062012-02-26",0.5479298769116,0,0,0,0,26,1,0,4135.914833,0,0.001216255,500
"B06","2012-03-05","B062012-03-05",0.595590975471733,0,0,1,1,6,1,0,4135.914833,0,0.001216255,500
"B06","2012-03-13","B062012-03-13",0.62779623480775,0,0,0,0,2,1,0,4135.914833,0,0.001216255,500
"B06","2012-03-21","B062012-03-21",0.607744784123077,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-03-29","B062012-03-29",0.53098116955303,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-04-06","B062012-04-06",0.632265795040099,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-04-14","B062012-04-14",0.662315075234511,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-04-22","B062012-04-22",0.731640641070524,0,0,0,0,3,1,0,4135.914833,0,0.001216255,500
"B06","2012-04-30","B062012-04-30",0.82844745597856,5,1,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-05-08","B062012-05-08",0.759891494083179,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-05-16","B062012-05-16",0.773198121375222,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-05-24","B062012-05-24",0.737366119218997,2,1,3,1,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-06-01","B062012-06-01",0.633354755117522,3,1,0,0,4,1,0,4135.914833,0,0.001216255,500
"B06","2012-06-09","B062012-06-09",0.508532669597975,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-06-17","B062012-06-17",0.500308812892393,0,0,0,0,32,1,0,4135.914833,0,0.001216255,500
"B06","2012-06-25","B062012-06-25",0.490358694850831,0,0,0,0,99,1,0,4135.914833,0,0.001216255,500
"B06","2012-07-03","B062012-07-03",0.455495442244695,1,1,0,0,16,1,0,4135.914833,0,0.001216255,500
"B06","2012-07-11","B062012-07-11",0.397387056323928,0,0,0,0,10,1,0,4135.914833,0,0.001216255,500
"B06","2012-07-19","B062012-07-19",0.355930982170772,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-07-27","B062012-07-27",0.347832380069299,1,1,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-08-04","B062012-08-04",0.335366007189289,1,1,0,0,3,1,0,4135.914833,0,0.001216255,500
"B06","2012-08-12","B062012-08-12",0.322162068073984,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-08-20","B062012-08-20",0.331146235216251,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-08-28","B062012-08-28",0.364050381661886,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-09-05","B062012-09-05",0.364050381661886,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-09-13","B062012-09-13",0.45195168399599,0,0,0,0,15,1,0,4135.914833,0,0.001216255,500
"B06","2012-09-21","B062012-09-21",0.449658045858408,0,0,0,0,1,1,0,4135.914833,0,0.001216255,500
"B06","2012-09-29","B062012-09-29",0.420118146904862,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-10-07","B062012-10-07",0.350756045964881,0,0,0,0,47,1,0,4135.914833,0,0.001216255,500
"B06","2012-10-15","B062012-10-15",0.410964149570667,0,0,0,0,37,1,0,4135.914833,0,0.001216255,500
"B06","2012-10-23","B062012-10-23",0.36104160348848,0,0,0,0,35,1,0,4135.914833,0,0.001216255,500
"B06","2012-10-31","B062012-10-31",0.575507905519235,0,0,0,0,27,1,0,4135.914833,0,0.001216255,500
"B06","2012-11-08","B062012-11-08",0.623111574076828,0,0,0,0,11,1,0,4135.914833,0,0.001216255,500
"B06","2012-11-16","B062012-11-16",0.505971264512247,0,0,0,0,9,1,0,4135.914833,0,0.001216255,500
"B06","2012-11-24","B062012-11-24",0.542249030141329,0,0,0,0,10,1,0,4135.914833,0,0.001216255,500
"B06","2012-12-02","B062012-12-02",0.526128765824116,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-12-10","B062012-12-10",0.555433987688666,0,0,0,0,2,1,0,4135.914833,0,0.001216255,500
"B06","2012-12-18","B062012-12-18",0.445398593559612,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B06","2012-12-26","B062012-12-26",0.165814507215884,0,0,0,0,0,0,0,4135.914833,0,0.001216255,500
"B07","2012-01-01","B072012-01-01",0.755713943900499,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-01-09","B072012-01-09",0.703655568705965,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-01-17","B072012-01-17",0.661455552710924,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-01-25","B072012-01-25",0.568238993624829,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-02-02","B072012-02-02",0.478545032067579,0,0,0,0,1,1,0,3908.45593,0,0.001029718,0
"B07","2012-02-10","B072012-02-10",0.434369549844186,2,1,0,0,2,1,0,3908.45593,0,0.001029718,0
"B07","2012-02-18","B072012-02-18",0.385381257489533,0,0,0,0,49,1,0,3908.45593,0,0.001029718,0
"B07","2012-02-26","B072012-02-26",0.473567717436441,4,1,0,0,1,1,0,3908.45593,0,0.001029718,0
"B07","2012-03-05","B072012-03-05",0.569309539600729,0,0,0,0,4,1,0,3908.45593,0,0.001029718,0
"B07","2012-03-13","B072012-03-13",0.598454357251753,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-03-21","B072012-03-21",0.593061830944807,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-03-29","B072012-03-29",0.585946205556397,0,0,1,1,5,1,0,3908.45593,0,0.001029718,0
"B07","2012-04-06","B072012-04-06",0.625766599553481,1,1,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-04-14","B072012-04-14",0.664608236355356,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-04-22","B072012-04-22",0.684848211673938,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-04-30","B072012-04-30",0.732997958364904,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-05-08","B072012-05-08",0.738271019256625,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-05-16","B072012-05-16",0.769236413559816,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-05-24","B072012-05-24",0.762593988709774,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-06-01","B072012-06-01",0.677724288709147,0,0,0,0,0,0,0,3908.45593,0,0.001029718,0
"B07","2012-06-09","B072012-06-09",0.550942925681992,1,1,0,0,4,1,0,3908.45593,0,0.001029718,0
